country,region,gdp,gdp_per_capita,gdp_growth,population,youth_population_pct,internet_penetration,mobile_broadband,tertiary_enrollment,outbound_mobility_ratio,english_proficiency,ease_of_business,regulatory_quality,political_stability,inflation,cost_of_living,currency_stability,data_year,reliability_score,gdp_norm,gdp_per_capita_norm,gdp_growth_norm,population_norm,internet_penetration_norm,mobile_broadband_norm,tertiary_enrollment_norm,english_proficiency_norm,ease_of_business_norm,regulatory_quality_norm,political_stability_norm,inflation_norm,cost_of_living_norm,currency_stability_norm,economic_score,growth_score,readiness_score,risk_score,final_score,rank,filtered_rank,cluster,ai_insight,market_archetype
Singapore,Asia-Pacific,509000000000.0,90299.06946,4.108000219,5637022,,95.9539,173.005,98.0222265,,642,2.214378357,2.214378357,1.440372348,6.130954189,84.0,60,2022,0.95,0.0038087488091457606,0.95,0.37651116526309425,0.0,0.9248659533717042,0.95,0.8553779961786443,0.95,0.95,0.95,0.95,0.40945484213581135,0.0,0.0,0.47690437440457284,0.37651116526309425,0.9200609873875871,0.5432424736893019,0.614693806713674,1,1,2,"Ranked high due to strong market readiness; however, risks include high cost pressure","Large Market, Operationally Complex"
Australia,Asia-Pacific,1700000000000.0,65169.51911,4.253045592,26018721,,97.0424,109.469,106.2407608,,620,1.894893289,1.894893289,0.983715951,6.594096713,77.7,60,2022,0.95,0.04872181644966656,0.67856585795682,0.40026815937001703,0.01363769713100252,0.95,0.29974015116910424,0.95,0.804861111111111,0.8347192050759695,0.8347192050759695,0.7455358556324052,0.34923674056040527,0.10041946308724825,0.0,0.3636438372032433,0.40026815937001703,0.7511503155700539,0.4774384115719996,0.5195278013489294,2,2,0,"Ranked high due to strong market readiness; however, risks include elevated operational or political risk, high cost pressure",Stable & Execution-Ready
Canada,North America,2190000000000.0,56256.80073,4.189036281,38935934,,94.0,91.2387,78.89849854,,590,1.677092791,1.677092791,0.780681551,6.802801153,70.2,60,2022,0.95,0.06719990473166085,0.5822960865899088,0.3897840688212258,0.02228079595562202,0.8797493583262035,0.1131619573554887,0.6352018194959372,0.6069444444444444,0.7561295711332346,0.7561295711332346,0.6546288736084833,0.32210084930469696,0.21996644295302006,0.0,0.3247479956607848,0.3897840688212258,0.5587643949055184,0.4514925513554449,0.44273169311666905,5,3,0,"Moderate overall fundamentals; however, risks include elevated operational or political risk, high cost pressure",Stable & Execution-Ready
Germany,Europe,4200000000000.0,50506.51796,1.809258124,83177813,,91.6298,124.158,77.36569977,,613,1.522294998,1.522294998,0.628491879,6.872574386,65.6,60,2022,0.95,0.14299777707208636,0.5201850241776588,0.0,0.05188369345246273,0.8250201738352648,0.45007487352299863,0.6175543308102346,0.7586805555555556,0.7002734000100023,0.7002734000100023,0.5864872001938769,0.3130288867568604,0.29328859060402696,0.0,0.3315914006248726,0.0,0.6628324834310133,0.43222524626246145,0.41141516906426057,6,4,1,"Ranked high due to strong market readiness; however, risks include elevated operational or political risk, high cost pressure",High-Growth but Risk-Sensitive
